Subject,Accuracy,Precision,Recall,F1 Score
subject_01.csv,0.6925,0.7471370851370851,0.6925,0.7008886388164959
subject_02.csv,0.7233502538071066,0.6445729306951207,0.7233502538071066,0.676463893468098
subject_03.csv,0.8547486033519553,0.8774610909892812,0.8547486033519553,0.8631650118205446
subject_04.csv,0.7794871794871795,0.8437544084553319,0.7794871794871795,0.8043570178377352
subject_05.csv,0.8797814207650273,0.9002089296776622,0.8797814207650273,0.8808013921395865
subject_06.csv,0.7894736842105263,0.828874509673542,0.7894736842105263,0.7894972081330454
subject_07.csv,0.35208333333333336,0.38430214257420137,0.35208333333333336,0.36305742817757647
subject_08.csv,0.8028169014084507,0.8870540888928478,0.8028169014084507,0.8239535246915585
subject_09.csv,0.9452449567723343,0.959834569559556,0.9452449567723343,0.9513897672220889
subject_10.csv,0.7979539641943734,0.8500580495356037,0.7979539641943734,0.8085032806270263
subject_11.csv,0.23989737010904427,0.1859430372318262,0.23989737010904427,0.19298008023190252
subject_12.csv,0.8106796116504854,0.8480958202988901,0.8106796116504854,0.8195386965157867
subject_13.csv,0.7458745874587459,0.8699211381861928,0.7458745874587459,0.7613216193668754
subject_14.csv,0.7220708446866485,0.7738799031028787,0.7220708446866485,0.7329462769888829
subject_15.csv,0.8169761273209549,0.8704161961974297,0.8169761273209549,0.8279807397608847
subject_16.csv,0.8532338308457711,0.8990462896741847,0.8532338308457711,0.8682901796662262
subject_17.csv,0.7258485639686684,0.7759548251055167,0.7258485639686684,0.7399945227314402
subject_18.csv,0.8208232445520581,0.8686618346107575,0.8208232445520581,0.8316295908441663
subject_19.csv,0.7432098765432099,0.8278905565919954,0.7432098765432099,0.7561526703839673
subject_20.csv,0.8894348894348895,0.9479634272124392,0.8894348894348895,0.9107048817485238
subject_21.csv,0.7417582417582418,0.8135722079565735,0.7417582417582418,0.747273067677514
subject_22.csv,0.5054945054945055,0.5651351648248094,0.5054945054945055,0.5156195860723444
subject_23.csv,0.8761904761904762,0.918355820019283,0.8761904761904762,0.8887044691271156
subject_24.csv,0.7936893203883495,0.8403361507857395,0.7936893203883495,0.781660442608081
subject_25.csv,0.7859078590785907,0.8585694466266377,0.7859078590785907,0.8067071276202691
subject_26.csv,0.6846361185983828,0.7118966028428364,0.6846361185983828,0.6914203137999292
subject_27.csv,0.8428927680798005,0.9102516246072451,0.8428927680798005,0.8686020663371895
subject_28.csv,0.7612903225806451,0.8102953706566334,0.7612903225806451,0.7756456723067781
subject_29.csv,0.6624365482233503,0.6794522388280471,0.6624365482233503,0.6430836926677008
subject_30.csv,0.13657876943881,0.090265551758439,0.13657876943881,0.06372069209349836
subject_31.csv,0.7002881844380403,0.7799896576387851,0.7002881844380403,0.7331935048849233
subject_32.csv,0.9295154185022027,0.9518756834442466,0.9295154185022027,0.9375105974318286
subject_33.csv,0.852054794520548,0.9136880129192541,0.852054794520548,0.871032649162899
subject_34.csv,0.8842592592592593,0.9314860045717224,0.8842592592592593,0.9063678724959189
subject_35.csv,0.8970189701897019,0.9421421533968087,0.8970189701897019,0.9147415853547661
subject_36.csv,0.9035087719298246,0.9303429786001639,0.9035087719298246,0.9131346660346616
